Tag;Parts_Id;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023
Monoporzioni;19;8814;10786;12140;12664;12526;8132;9766;11290;5780;9336;8540;12310;8318;11624;17552;10012;12818;9166;10472;15204;8712;11404;12364;15542;12628;15432;15166;13412;13614;11496;9826;13046;10822;10228;13910;19362
Monoporzioni;20;522;3366;2506;2430;3022;2534;1310;1008;934;2794;1780;1930;1946;2008;2820;3050;3150;2566;4272;982;2046;2610;2814;3128;1526;2884;2762;2132;2092;2334;1080;2766;1728;1564;3282;2390
Monoporzioni;36;261;516;1110;156;852;924;270;510;NULL;690;399;450;171;1785;306;228;420;309;990;192;420;NULL;882;120;126;540;870;270;780;174;750;960;2205;2181;2796;3720
Monoporzioni;37;7620;9690;8271;15078;15849;8346;12903;6732;12120;9510;10182;16683;9975;10659;9333;13245;10110;10458;12315;10590;11754;10140;11280;12192;13575;13800;8616;9978;9855;8511;9126;9030;18192;13704;13359;9162
Monoporzioni;38;306;324;312;99;414;168;264;408;6;66;93;132;291;168;120;204;372;189;18;186;321;315;924;120;189;333;1044;606;621;138;672;1206;2607;210;1947;1320
Monoporzioni;11;522;3366;2506;2430;3022;2534;1310;1008;934;2794;1780;1930;1946;2008;2820;3050;3150;2566;4272;982;2046;2610;2814;3128;1526;2884;2762;2132;2092;2334;1080;2766;1728;1564;3282;2390
Monoporzioni;12;2368;4062;6024;4302;3796;2562;3958;4100;4098;1372;4116;4738;4584;6624;6094;3892;3794;4720;2998;5538;2854;4042;3244;2270;5628;5506;5062;5620;2942;4214;4490;4382;4452;2818;4712;4000
Monoporzioni;13;8814;10786;12140;12664;12526;8132;9766;11290;5780;9336;8540;12310;8318;11624;17552;10012;12818;9166;10472;15204;8712;11404;12364;15542;12628;15432;15166;13412;13614;11496;9826;13046;10822;10228;13910;19362
Monoporzioni;44;150;369;813;1035;120;15;108;1272;135;84;1425;180;993;2064;696;690;495;807;210;780;675;774;1395;1356;2169;6246;768;885;2535;2073;1980;6;255;306;900;855
Monoporzioni;45;5769;11319;9513;9906;7995;10410;3405;4803;10836;7137;9540;8673;12975;10320;14712;10116;12138;9264;10860;11304;7050;11862;9279;15126;9123;20271;10413;6795;11823;13299;11142;8388;5127;8019;10770;10875
Monoporzioni;46;4956;8301;14244;9363;9477;9288;5595;6525;10689;5247;9915;10719;13890;14325;16833;10557;15309;9480;12795;8316;11664;9444;10062;12420;10452;22104;13944;14049;11466;13848;12639;6288;6102;6390;9993;11784
Monoporzioni;47;4776;6435;10503;4956;5361;6183;2970;3534;6120;4008;7860;6948;8490;9309;5487;7041;6951;7110;7107;3891;3813;4938;6753;7533;6297;10668;6660;4833;3930;6756;7689;1248;3126;4206;4875;8298
Monoporzioni;61;NULL;2400;2880;960;3360;4716;2400;960;2880;3360;4240;2880;3880;960;5840;3440;3600;4320;3360;5000;3360;3360;2400;5800;2120;5760;5280;4274;4798;2880;4320;4320;2880;4320;4320;3360
Monoporzioni;9;200;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;18;2368;4062;6024;4302;3796;2562;3958;4100;4098;1372;4116;4738;4584;6624;6094;3892;3794;4720;2998;5538;2854;4042;3244;2270;5628;5506;5062;5620;2942;4214;4490;4382;4452;2818;4712;4000
Monoporzioni;32;174;1485;171;810;330;930;975;180;123;990;612;1506;201;1083;429;216;1062;864;1050;600;138;750;1020;1125;NULL;1755;495;600;621;240;930;924;3762;1764;2862;1806
Monoporzioni;34;NULL;435;213;9;450;78;NULL;300;NULL;NULL;9;300;84;621;9;36;18;9;30;726;300;NULL;12;NULL;30;270;12;NULL;NULL;NULL;NULL;12;18;15;NULL;300
Monoporzioni;41;4220;11860;10640;12830;13440;13536;7640;10080;5460;7040;8420;7520;9502;10858;12270;13446;12984;9304;15454;5240;7260;12420;16140;12432;14832;16490;12780;8864;14940;13480;13540;12064;13796;12874;16604;12240
Monoporzioni;43;7323;9150;13494;7896;12027;10638;5460;9303;8100;7830;10389;10956;11721;12057;15159;9489;10707;11145;14376;8664;6840;10305;10338;16980;8403;16800;12990;7881;11514;13617;13404;6570;8355;7134;9003;11766
Monoporzioni;48;120;1329;2421;2682;1365;1116;180;1812;453;1416;1470;1434;1449;3072;2622;1467;891;381;1311;606;1860;1941;831;1137;1275;7344;2127;1707;2718;2256;2895;72;417;1137;1668;1044
Monoporzioni;50;24600;36600;45000;33000;37200;34200;37200;30000;45600;34200;34800;30600;39000;32400;40800;28800;38400;36198;36000;38700;35400;24600;43200;34800;33585;32970;45000;32400;27000;39000;31200;36000;7800;4200;6600;9600
Monoporzioni;51;3200;3940;4880;4280;2960;3980;3280;1920;3480;4840;3840;6640;760;6470;8560;1520;3840;6502;7328;16800;4862;600;1840;3720;10000;6352;6680;7120;8020;8780;8700;9600;2080;10210;5498;9360
Monoporzioni;60;25500;32040;34887;30780;30780;28920;28800;25980;35760;29400;29640;33240;33000;26400;38700;30699;33645;38100;25500;41400;30960;21000;36600;32400;30000;31200;33000;33600;24600;34953;25800;32400;4800;1800;4200;5160
Monoporzioni;65;NULL;1000;2262.5;1250;NULL;62.5;NULL;NULL;NULL;1050;3105;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;67;500;4070;8835;2162.5;3812.5;1000;500;500;650;1500;1750;782.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;74;NULL;1000;2262.5;1250;NULL;62.5;NULL;NULL;NULL;1050;3105;NULL;650;2525;2700;500;1250;NULL;650;NULL;200;750;250;1545;2500;2500;1500;1500;NULL;NULL;NULL;NULL;NULL;NULL;750;2352.5
Monoporzioni;76;500;4070;8835;2162.5;3812.5;1000;500;500;650;1500;1750;1500;3000;10650;13500;3500;7500;NULL;NULL;NULL;NULL;4500;1000;10500;2500;8000;11697.5;5057.5;1500;2000;1500;3000;1000;1500;5500;16392.5
Monoporzioni;83;NULL;NULL;NULL;NULL;16900;NULL;34130;NULL;NULL;NULL;NULL;NULL;NULL;5632;15950;11116;16448;33800;NULL;33800;NULL;NULL;NULL;NULL;1554;16596;16900;2152;24700;16900;16900;NULL;1822;33800;16900;16812
Monoporzioni;85;16900;NULL;NULL;16900;NULL;16900;16900;16900;8450;16900;16900;NULL;NULL;36614;13000;3900;16900;16672;32500;9122;10676;12066;50700;NULL;30144;25350;16900;16900;16900;16630;NULL;33800;15922;35548;18234;27950
Monoporzioni;39;282;213;81;432;159;408;495;270;90;30;213;90;228;300;270;111;171;111;270;414;120;30;282;195;222;183;270;675;45;222;NULL;615;1395;1260;1020;870
Monoporzioni;54;627;1170;1062;1872;1740;1275;2055;630;1737;900;1590;1785;1230;1830;1014;990;2172;1704;1527;1758;1632;900;570;969;2640;300;780;1020;1098;975;660;1290;240;1152;360;900
Monoporzioni;55;60;60;NULL;63;60;63;9;60;84;3;33;NULL;NULL;408;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;56;471;510;1359;150;1395;1200;582;528;1290;576;786;930;1578;1413;828;621;567;636;234;1566;636;1020;849;1149;498;840;720;258;978;1290;1263;900;600;NULL;NULL;1500
Monoporzioni;69;500;590;2800;1792.5;NULL;300;NULL;NULL;NULL;NULL;1980;NULL;750;1207.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1737.5;NULL;NULL;NULL;NULL;NULL;2052.5;NULL
Monoporzioni;70;500;3500;5955;1000;1000;850;NULL;450;750;750;1780;NULL;152.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;71;500;1207.5;2600;1000;NULL;275;NULL;NULL;NULL;150;2110;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;72;8000;28045;25085;11197.5;12000;11275;10050;11000;15785;9150;14000;25500;9000;24350;19000;22500;17497.5;12500;29000;4500;8000;18250;11757.5;41540;11500;24000;34517.5;6000;19500;21447.5;23500;28350;NULL;7500;34000;39367.5
Monoporzioni;52;3750;7444;13648;7948;9482;7960;5400;4928;8292;3680;7714;8248;9048;10700;19812;12646;8736;13488;10184;11194;5906;8704;11674;16962;15050;16966;21254;13630;12038;10270;10770;11786;7958;9860;18736;23866
Monoporzioni;57;1440;240;2820;1380;3600;3684;2040;690;4080;900;2205;1770;1980;2040;2580;2502;2910;2289;2874;5166;2400;1440;1560;1560;2520;1260;1290;720;1860;2220;300;2100;600;NULL;2400;NULL
Monoporzioni;59;255;330;450;360;765;690;276;570;810;540;378;390;720;990;276;462;258;516;393;1080;378;180;420;804;360;210;180;360;480;360;360;300;NULL;NULL;60;NULL
Monoporzioni;66;595;5217.5;9687.5;2840;645;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;68;NULL;1615;8367.5;3000;1000;650;500;NULL;300;800;2652.5;1500;2000;1555;8000;2465;3635;1350;1100;750;750;2250;500;11342.5;570;6500;10000;1985;NULL;1000;500;NULL;1250;250;5750;10550
Monoporzioni;73;1050;6995;8100;3250;1000;1150;500;1000;1362.5;1750;910;2650;3500;8125;12000;1500;6500;NULL;500;500;500;4500;2250;9000;2237.5;9500;6000;3000;NULL;3000;3000;3500;500;2500;6500;5352.5
Monoporzioni;75;595;5217.5;9687.5;2840;645;1800;500;500;1200;3250;NULL;2650;3000;8712.5;7500;6000;6845;NULL;NULL;NULL;NULL;4750;1000;11092.5;500;7500;9567.5;3000;NULL;2000;2000;1000;1000;1750;6500;11405
Monoporzioni;82;NULL;NULL;NULL;31200;16900;33804;17874;NULL;NULL;NULL;NULL;12382;NULL;31154;NULL;34298;32742;NULL;NULL;16900;16900;16900;33800;NULL;16420;30550;17158;7150;42900;1298;16900;16900;10096;47594;15600;37368
Monoporzioni;63;8000;28045;25085;11197.5;12000;11275;10050;11000;15785;3175;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;64;1050;6995;8100;3250;1000;1150;500;1000;912.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;79;500;3500;5955;1000;1000;850;NULL;450;750;750;1780;1200;2000;6425;6500;3000;2500;NULL;NULL;250;200;3000;NULL;4750;2030;8000;4177.5;1500;NULL;1000;1000;500;NULL;750;3000;7300
Monoporzioni;80;500;1207.5;2600;1000;NULL;275;NULL;NULL;NULL;150;2110;250;500;2725;3750;500;150;NULL;NULL;NULL;NULL;250;500;2140;1500;2250;2000;482.5;NULL;NULL;NULL;NULL;NULL;NULL;500;2295
Monoporzioni;81;NULL;15600;16900;39268;39650;22604;16900;33800;NULL;NULL;NULL;20662;28600;36000;NULL;558;61518;6500;33800;16900;NULL;33800;16900;14300;34478;16900;16900;33800;11672;32746;33800;16900;3006;67600;35450;17804
Monoporzioni;94;NULL;NULL;1446;NULL;3250;4070;NULL;NULL;NULL;NULL;NULL;2600;NULL;1950;3354;1600;4706;5850;5850;NULL;2600;NULL;NULL;8450;2600;2600;3414;NULL;10146;NULL;5200;5120;NULL;7800;9100;NULL
Monoporzioni;95;NULL;NULL;1480;NULL;3250;684;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1950;630;812;2608;2284;NULL;NULL;1300;NULL;1724;6500;1950;1966;NULL;NULL;NULL;NULL;3900;4990;NULL;1300;920;1300
Monoporzioni;96;NULL;NULL;NULL;NULL;NULL;1680;NULL;NULL;NULL;NULL;NULL;NULL;NULL;650;NULL;824;NULL;NULL;516;NULL;NULL;650;NULL;1680;650;1300;912;NULL;NULL;NULL;4550;54;NULL;NULL;NULL;NULL
Monoporzioni;90;NULL;300;1200;600;1500;3000;NULL;153;153;2400;600;1800;600;1200;2400;600;2400;600;1800;1200;780;840;2400;1800;1200;1200;2085;1587;2214;2124;1200;1800;NULL;1200;2550;600
Monoporzioni;92;NULL;NULL;5044;610;2596;5194;NULL;NULL;NULL;NULL;NULL;9100;NULL;3250;6392;5366;5200;3900;NULL;NULL;3200;8752;13712;3012;650;19500;2534;NULL;NULL;NULL;8568;16190;NULL;5602;NULL;9100
Monoporzioni;99;3840;7200;6492;4800;5760;6240;4800;4320;3360;3660;6480;4320;4620;6246;5580;4080;7680;5520;3840;4320;4800;4320;4980;5640;6597;5292;4800;4320;4800;4560;3900;4080;4800;5340;4980;5220
Monoporzioni;101;2880;5040;5760;3840;6240;4560;3840;4800;2880;3780;4920;4860;4140;5400;5280;5760;5775;6960;3120;3840;3960;6720;3840;4080;6240;3210;6480;4440;4860;5658;4935;4080;4800;5640;4680;4260
Monoporzioni;108;4200;2838;6600;4200;4200;4800;4200;3600;2343;3558;3000;4182;4200;3600;4200;2943;2958;3990;4200;4200;4800;3600;4200;2400;5400;3423;4200;1305;4200;NULL;7329;4812;3537;2400;4182;1800
Monoporzioni;110;NULL;3615;1716;2400;1800;1800;3000;1800;NULL;1791;2391;1800;1800;2949;1788;1800;1791;1797;1800;1800;1800;1200;1800;1800;1800;1200;2457;993;2211;2394;1800;NULL;1803;2730;2478;NULL
Monoporzioni;115;NULL;1176;600;600;600;1200;600;NULL;600;NULL;1182;1098;NULL;600;1128;NULL;1128;600;600;1200;NULL;600;600;1200;600;600;1248;NULL;813;1200;510;600;600;885;600;840
Monoporzioni;117;NULL;2934;600;2400;1200;1200;1200;1800;1200;NULL;1182;1761;1200;1200;1752;NULL;1176;1164;1200;1200;1200;1200;NULL;3600;NULL;837;1860;NULL;1653;1680;1200;222;1944;1065;1200;948
Monoporzioni;86;NULL;NULL;NULL;20296;NULL;16968;20000;16900;NULL;16900;NULL;510;10400;10980;16548;0;17028;6390;33800;NULL;16900;824;50688;NULL;16870;NULL;16330;11850;5260;16900;16900;16900;1950;33114;16884;34462
Monoporzioni;87;NULL;NULL;16900;NULL;NULL;16900;NULL;NULL;NULL;NULL;NULL;NULL;6500;6500;10400;758;17088;NULL;NULL;9140;5478;3900;16900;NULL;17714;NULL;16900;16000;NULL;NULL;16798;NULL;NULL;33800;16674;4600
Monoporzioni;88;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;8450;NULL;NULL;NULL;NULL;6536;13034;NULL;NULL;7150;13340;NULL;NULL;16900;NULL;16998;NULL;8450;NULL;17388;NULL;16852;12600;NULL;NULL;16782;16026;NULL
Monoporzioni;89;7500;6600;8496;9195;12072;7800;10200;6900;7635;15597;10800;11400;11400;9000;14400;12150;9939;12330;8400;11700;17400;10080;9000;18600;9600;12000;13200;14400;13200;15600;10200;6600;18000;10800;12600;18600
Monoporzioni;103;3000;5400;4320;3000;4920;3540;2880;5280;2580;3480;4800;3180;4620;3660;5040;3480;5460;4266;4080;4560;3900;4080;4920;4680;5532;5694;2463;4080;3681;5760;3900;3360;3840;4620;7260;4380
Monoporzioni;104;NULL;1341;633;663;1920;2220;2535;480;1125;480;1860;480;1620;1254;1080;960;2040;1860;1560;1440;1440;840;2100;1950;738;2220;1500;1638;2700;2052;1440;1320;2400;1500;1260;2820
Monoporzioni;105;1920;2640;3360;1440;2220;3132;960;2400;2190;1500;3180;1620;3660;1140;1920;3600;1500;2460;2400;2100;2700;2580;2550;2220;4020;2580;2460;1680;2940;2781;1920;1020;3000;2100;3720;2760
Monoporzioni;106;4560;4320;2880;4800;6240;2880;5760;1920;3360;2640;5280;3360;4800;3840;4320;3840;5280;3840;5280;2880;3900;3840;3840;4320;6000;3120;3960;3720;4320;4395;3960;2400;3840;5160;4320;3840
Monoporzioni;84;NULL;NULL;NULL;NULL;16900;16884;16632;NULL;NULL;NULL;NULL;NULL;NULL;16242;16900;19140;22078;4250;NULL;16900;NULL;NULL;15918;NULL;16178;16014;NULL;32838;NULL;15258;16234;16464;16810;16064;15018;16124
Monoporzioni;91;1920;1440;4358;2362;4320;1920;2400;960;2400;1440;2880;2400;2400;2880;2880;2880;3360;1920;4320;2400;3840;1832;4320;2574;4234;3840;3840;2880;3840;4320;4800;5156;3836;4800;4800;3840
Monoporzioni;93;NULL;NULL;7108;50;6500;5464;NULL;NULL;NULL;NULL;NULL;4550;NULL;3250;5752;4044;2618;3142;6500;NULL;3900;6500;NULL;8450;1300;13000;4452;NULL;4958;NULL;7800;4734;NULL;650;6500;2600
Monoporzioni;100;8160;11640;11946;9600;10080;10320;9600;8628;3840;7680;12960;10110;8640;9360;10080;11040;11037;12000;7800;11586;11520;7200;12960;6720;11520;9120;9600;9060;6960;8880;8160;5760;9600;10380;13440;10320
Monoporzioni;102;2340;3480;3360;2520;4140;2340;4320;1920;3180;1560;4380;3960;2640;3120;3360;2160;5280;2940;3240;2400;2580;3360;2940;3720;3000;2796;3480;2640;2520;3660;1260;2580;3000;3360;1260;2580
Monoporzioni;107;1920;1320;2400;1020;2160;1440;960;1920;1140;1140;1920;1440;1800;2286;1743;1080;2460;1200;1560;1440;1920;1863;1260;1983;2400;2100;1935;960;1200;3120;1500;960;3171;2589;2460;1680
Monoporzioni;109;1800;1779;1800;1800;1800;NULL;3600;1800;NULL;1785;1689;1200;1200;1200;1800;1788;1800;1158;1800;1800;1200;600;1200;1800;2313;600;2322;1200;2280;NULL;4047;NULL;843;1623;2187;NULL
Monoporzioni;116;NULL;3600;2991;3000;3000;600;5400;3000;NULL;2349;2415;2400;1800;2400;4770;NULL;2400;NULL;4800;NULL;3600;NULL;4200;1200;2400;1329;2400;1200;NULL;1683;4842;NULL;1800;1800;1368;2502
Monoporzioni;118;NULL;2403;2367;3000;1800;NULL;4200;1800;NULL;624;3603;1200;1800;1200;1800;2385;1749;NULL;3258;1800;1200;1200;1800;1800;1800;600;2901;945;1470;2454;1200;2223;1038;1800;1173;1764
Monoporzioni;125;3400;NULL;8795;NULL;4237.5;12147.5;3265;NULL;6170;NULL;6980;3450;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;127;1547.5;615;NULL;NULL;2502.5;725;1585;NULL;NULL;NULL;1737.5;1672.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;132;NULL;NULL;6000;428;NULL;NULL;6600;NULL;NULL;NULL;NULL;5400;9000;7200;3000;2400;6258;5926;NULL;9000;10836;8400;600;6600;12600;8166;6600;9600;4800;3000;6600;8400;NULL;NULL;8400;8774
Monoporzioni;134;NULL;NULL;600;NULL;NULL;600;NULL;NULL;NULL;NULL;806;600;1200;1200;880;NULL;2400;NULL;NULL;NULL;1800;1800;NULL;1200;1800;978;1800;1200;1200;1800;1200;NULL;NULL;NULL;1200;2228
Monoporzioni;141;NULL;NULL;NULL;6500;232;7956;7150;NULL;NULL;3164;NULL;NULL;NULL;10980;5940;NULL;6002;5640;468;5850;3918;9020;650;NULL;4990;1330;7624;NULL;NULL;2966;11050;2600;650;2618;10830;NULL
Monoporzioni;143;NULL;NULL;NULL;NULL;NULL;NULL;1300;1298;NULL;1448;2600;2344;NULL;NULL;2398;NULL;2152;6790;NULL;NULL;5168;7532;NULL;NULL;NULL;NULL;2178;NULL;NULL;1950;11700;1300;4328;2356;2362;NULL
Monoporzioni;150;2280;3720;4760;1840;4200;5320;3120;3920;2000;4160;4840;4280;4160;4920;5440;3280;4640;3680;6208;3048;3240;3520;5760;3428;5720;4680;6600;5680;2760;4400;4400;3490;3280;4640;4240;3480
Monoporzioni;97;30240;31200;31131;23520;35520;24540;23040;24960;21600;17760;29880;24960;24000;26520;28320;13221;38640;25440;29760;20760;25200;18240;28350;20190;27354;23520;25440;16800;18720;29280;18720;12960;21150;22560;24000;21120
Monoporzioni;98;3840;7440;5760;4320;6720;5760;5760;4800;2400;4800;5520;4920;4920;5160;5760;4560;7902;5760;4680;3600;3840;4800;6960;2400;8508;3000;5760;4320;5880;5280;3360;3480;4560;5640;6780;5400
Monoporzioni;111;NULL;4776;3012;4200;3600;4200;3000;3600;NULL;2949;2367;2967;3000;6132;2991;3000;2970;NULL;4200;2394;3000;2400;3000;2919;3000;3000;3000;2319;2109;3819;3000;NULL;3807;1896;3258;NULL
Monoporzioni;112;NULL;3006;NULL;3000;1800;NULL;3000;NULL;1800;1188;1200;1197;1200;1200;2394;1200;1200;1161;1800;1800;1200;600;1200;1800;1200;1200;1947;1209;1692;600;2751;NULL;1293;2475;1200;846
Monoporzioni;113;NULL;3594;NULL;3000;2400;NULL;3600;NULL;1800;600;2424;1191;1800;1200;3579;NULL;2994;1764;1800;1800;1800;NULL;1800;1800;1800;NULL;2838;777;1518;1629;3717;2400;NULL;1890;2445;NULL
Monoporzioni;114;NULL;1176;597;600;600;600;1200;NULL;600;NULL;630;1200;600;600;567;600;1056;NULL;1200;1200;NULL;1200;600;600;1200;810;600;600;NULL;1032;1434;NULL;1800;654;1440;NULL
Monoporzioni;128;13500;1912.5;NULL;NULL;10042.5;11192.5;3637.5;NULL;9160;NULL;6850;6815;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;129;2497.5;1952.5;NULL;NULL;3925;4747.5;NULL;NULL;NULL;2515;NULL;4485;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;119;NULL;1218;1200;1200;1200;NULL;2400;NULL;1200;NULL;1191;1212;1200;600;1200;1200;NULL;1158;1200;1800;NULL;600;1200;1200;1200;NULL;1260;1248;NULL;1605;1200;NULL;996;1071;600;600
Monoporzioni;120;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3838;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;121;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3582;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Monoporzioni;122;14032.5;2062.5;NULL;NULL;15557.5;27212.5;10740;NULL;2072.5;NULL;10032.5;9432.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
